Episode,Reward,Avg_Co2,Avg_Queue,Avg_Wait,Avg_Speed,Avg_Throughput,Avg_Phase_Duration,Avg_Transition_Time
0,-4514468.519621877,59.17824780727036,42.45094288056846,2926.4413774255263,5.331389136273881,67.07433725061492,25.338345864661655,2.580357142857143
1,-3974402.0653537083,55.4233195873162,38.53622004357298,2564.264705882353,5.319483886478619,62.546840958605664,26.929133858267715,2.4466019417475726
2,-3765507.704838243,49.97421190112699,34.15072974333165,2257.729491696024,6.502488673453649,56.27025666834424,26.496350364963504,2.84297520661157
3,-5719176.98534554,60.83676532621474,45.03567708333333,3529.823177083333,5.737730841780797,69.27864583333333,25.321428571428573,2.5652173913043477
4,-4219992.258585351,53.12350203716856,36.47223705285638,2669.8283502402564,6.3303172812073125,59.81633742658836,26.25,2.701923076923077
5,-4201970.5940018445,53.200054728682666,37.27455983669304,2530.1066598622097,6.448111259308662,60.101811686654756,27.238805970149254,2.6372549019607843
6,-2972629.8324741675,46.69226198015106,30.086310299869623,1849.0795306388527,6.7844353656083385,52.182529335071706,25.51094890510949,2.8333333333333335
7,-3608795.8835480437,52.939335420267135,36.02766693269486,2282.578877361,5.925039433194018,59.66852886405959,26.05263157894737,2.5565217391304347
8,-4645570.842323014,55.537138907380125,39.82836401348198,2837.7513611615245,6.068611497034345,62.87503240860772,28.214285714285715,2.822429906542056
9,-3231096.084351115,50.93804894774382,33.75954814416353,2054.4900484131254,5.736255289749557,57.18612157073696,24.782608695652176,2.591304347826087
10,-3740545.945676342,51.60601400408758,35.04739583333333,2308.70390625,5.974474330538081,58.12734375,26.25925925925926,2.6339285714285716
11,-3138397.7696288126,48.779170533374874,32.40759033012737,1940.3659994801144,6.0168069791574235,54.6662334286457,27.734375,2.675675675675676
12,-4770816.263671608,57.97470359683641,41.78182294394971,2968.8022524882135,5.816442783734408,65.86301728653746,25.071428571428573,2.566666666666667
13,-3111005.7599631883,50.403932512901314,33.176438945669716,1978.2818719741797,5.8482463853916995,56.52850995158688,26.068702290076335,2.6814159292035398
14,-2355705.1428437037,44.74179919256375,27.85441896418449,1454.0468951301211,6.842232598720306,49.883792836897705,26.333333333333332,2.786324786324786
15,-5126794.853497952,55.99357898566484,41.46043340637935,2969.0762113464816,6.41267176565543,63.722668614560504,26.514084507042252,2.7580645161290325
16,-3118100.1261498057,51.88617908204424,34.305177111716624,2003.258038147139,6.235102915427722,58.25558583106267,26.2015503875969,2.761904761904762
17,-2828932.090372809,45.05677674560457,28.05435924369748,1769.608718487395,6.679935739826912,50.161764705882355,25.82089552238806,2.9491525423728815
18,-2601987.0783856986,48.09543769635534,30.212632725292675,1686.6512387693983,6.138071011104599,53.755240947454396,25.96153846153846,2.7339449541284404
